id,old,new,procedure_ref
A9-0298/2023-160,"  Table 2: Conditions for testing compliance of M2, M3, N2 and N3 vehicles with exhaust   emission limits with any market fuel and lubricant within the specifications issued by the   manufacturer of the vehicle           Parameter                            Normal driving conditions                                       Extended driving                                                                                                                     conditions*                                                                  -                                      2 (applies to measured     Extended Driving                                                                             emissions only during the time              Divider                                                                             when one of the conditions set                                                                                                     out in this column applies)   Ambient temperature                                   -7°C to 35°C                              -10°C to -7°C or 35°C to 45°C     Maximum altitude                                        1 600 m                                     From 1 600 to 1 800 m    Tow   min og d/ ia fe icr ao td ioyn na smic          Not allowed                               am na dn  A uul pl f  o a tow c  te tu hd r e  ea  r rc   ec s gpo uerd c laii fn ti eg c da   t sto i po  en es d         Vehicle Payload                       Higher or equal than 10%                                          Less than 10%           Auxiliaries                       Possible as per normal use                                                    -   Internal Combustion                                          Any                                                        -     Engine Loading at            cold start      Trip composition                                As per usual use                                                     -                                             5 000 km for <16t TPMLM                                Between 3 000 km and 5 000      Minimum mileage                       10 000 km for > 16t TPMLM                               Betwk   em en f  o 3r  0 < 01 06  kt  mTP  aM ndL  1M 0 000                                                                                                         km for > 16t TPMLM","  Table 2: Conditions for testing compliance of M2, M3, N2 and N3 vehicles with exhaust   emission limits with any market fuel and lubricant within the specifications issued by the   manufacturer of the vehicle      Laboratory exhaust emission measurement                                   Real Driving Emission (RDE) measurement   For all exhaust emission tests conducted                                The provisions of UN Regulation No 492, Annex   using the WHTC/WHSC engine bench test                                   8 shall apply with the following exceptions of:   cycles, the provisions of UN Regulation No                              • The power threshold in Table 1 of Annex III is   491, Annex 4 shall apply.                                               0%. For windows where power is below 6%, 6%                                                                           shall be used for calculations;                                                                           • The conformity factor (CF) in Table 2 of point                                                                           6.3 where the value = 1.0 shall be used for all                                                                           pollutants. The applicable limits are the Real                                                                           RDE limits in Annex I Table 2.   1 07 series of amendments (OJ L 14, 16.1.2023, p. 1).   2 07 series of amendments (OJ L 14, 16.1.2023, p. 1).",2022/0365(COD)
A9-0298/2023-166,NULL,"(7 a) While Euro 7 standards are focused on setting stricter tailpipe emission standards for vehicles running on a conventional internal combustion engine, it is also necessary to underline the importance of prioritising industrial investment in the development and adoption of CO2 neutral and zero- emission vehicles. By focusing resources on these technologies, the EU can accelerate the transition towards a more sustainable transportation sector and improve air quality, particularly in urban areas, where traffic congestion and pollution can have adverse effects on public health. That approach involves directing financial support, research and development efforts, and regulatory incentives towards fostering advancements in CO2 neutral and zero- emission vehicle technology.",2022/0365(COD)
A9-0298/2023-168,NULL,"(18 a) Scientific and technological findings prove the sustainability of climate-friendly, CO2-neutral fuels. In order to ensure that no fossil fuels are used in vehicles powered by these fuels, the Commission should formulate requirements and rules, in cooperation with manufacturers and suppliers, to find technical solutions (e.g. sensors in the fuel tank) that are commercially viable and within the means of the general public.",2022/0365(COD)
A9-0298/2023-172,NULL,"(57 a) ‘CO2 neutral fuel’ means all fuels defined by Directive (EU) 2018/2001 where the emissions of the fuel in use (eu) can be taken to be net zero, meaning for instance that the CO2 equivalent of the carbon incorporated in the chemical composition of the fuel in use (eu) is of biogenic origin and/or has been avoided being emitted as CO2 into the atmosphere or has been captured from ambient air or has avoided its existing fate; those fuels include renewable or synthetic fuels, such as biofuel, biogas, biomass fuel, renewable liquid and gaseous transport fuel of non biological origin (RFNBO) or a recycled carbon fuel (RCF); other fuels not listed in Directive (EU) 2018/2001 can fulfil this definition provided that they meet those criteria and the sustainability criteria of that Directive and associated delegated acts; a mixture of two or more CO2 neutral fuels is considered a CO2 neutral fuel;",2022/0365(COD)
A9-0233/2023-276,"(d) measures to limit transport emissions through traffic planning and management (including congestion pricing, differentiated parking fees or other economic incentives; establishing urban vehicles access restrictions schemes, including low emission zones);","(d) measures to limit transport emissions through urban planning and traffic management, including at least:     (i) congestion pricing, such as road pricing and mileage-based user fees;  (ii) choice of road materials; (iii) parking fees on public land or other economic incentives and with differentiated fees for polluting and zero- emission vehicles;  (iv) establishing urban vehicles access restrictions schemes, including low emission zones in line with the most recent Euro standard, and zero-emission zones;  (v) establishing low-traffic neighbourhoods, super blocks and car- free neighbourhoods; (vi) establishing car-free streets;  (vii) introducing low speed limits; (viii) ‘last mile’ zero (exhaust) emission delivery arrangements; (ix) promoting car sharing and carpooling;  (x) implementation of intelligent transport systems and digital solutions related to emissions reduction; (xi) creation of multimodal hubs connecting various sustainable transport solutions and parking facilities;",2022/0347(COD)
A9-0298/2023-173,NULL,"(57 b) ‘Carbon Correction Factor (CCF)’ means a factor, which applies a correction to the CO2 tailpipe emissions of vehicles for compliance assessment, to reflect the GHG emission intensity and the share of CO2 neutral fuels as defined in point (57a);",2022/0365(COD)
A9-0298/2023-174,"(67) ‘zero-emission range’ means the maximum distance a zero-emission vehicle can travel until the traction battery or fuel tank is depleted, which for PEVs corresponds to the electric range;","(67) ‘zero-emission range’ means the maximum distance a zero emission vehicle and Euro 7 CNF vehicle can travel until the traction battery or fuel tank is depleted, which for PEVs corresponds to the electric range;",2022/0365(COD)
A9-0298/2023-176,NULL,"Article5a Options of the manufacturers concerning the designation of vehicles fueled by CO2 neutral fuels Manufacturers may designate vehicles as 'Euro 7 CNF vehicle' where those vehicles are fuelled by CO2 neutral fuels (CNF), as defined in Article 3 of this Regulation, either exclusively or with the Carbon Correction Factor, over the vehicle lifetime. In the case of exclusive use of CNF by technical adjustments at the vehicle or filling station or by a fuel certification scheme, the CO2 emissions are considered zero for the purposes of Regulations (EU) 2019/631 and (EU) 2019/1242. The verification of the requirement of exclusive use of CNF by technical adjustments is the responsibility of the type-approval authority. In the second case, the CO2 emissions for the purposes of Regulation (EU) 2019/631 and (EU) 2019/1242 are calculated through the Carbon Correction Factor (CCF), as defined in Article 3, point (57b), of this Regulation. The Commission shall, no later than one year after the entry into force of this Regulation and in consultation with the relevant stakeholders, define the methodologies to calculate and apply the CCF.",2022/0365(COD)
A9-0298/2023-178,"6. With effect from 1 July 2030, national authorities shall, in the case of new M1, N1 vehicles constructed by small volume manufacturers which do not comply with this Regulation consider certificates of conformity to be no longer valid for the purposes of registration and shall, on grounds relating to CO2 and pollutant emissions, fuel and energy consumption, energy efficiency or battery durability, prohibit the registration, sale or entry into service of such vehicles.","6. With effect from 1 July 2035, national authorities shall, in the case of new M1, N1 vehicles constructed by small volume manufacturers which do not comply with this Regulation consider certificates of conformity to be no longer valid for the purposes of registration and shall, on grounds relating to CO2 and pollutant emissions, fuel and energy consumption, energy efficiency or battery durability, prohibit the registration, sale or entry into service of such vehicles.",2022/0365(COD)
A9-0298/2023-179,"7. With effect from 1 July 2031, national authorities shall, in the case of new M2, M3, N2, N3 vehicles constructed by small volume manufacturers, which do not comply with this Regulation consider certificates of conformity to be no longer valid for the purposes of registration and shall, on grounds relating to CO2 and pollutant emissions, fuel and energy consumption, energy efficiency or battery durability, prohibit the registration, sale or entry into service of such vehicles.","7. With effect from 1 July 2035, national authorities shall, in the case of new M2, M3, N2, N3 vehicles constructed by small volume manufacturers, which do not comply with this Regulation consider certificates of conformity to be no longer valid for the purposes of registration and shall, on grounds relating to CO2 and pollutant emissions, fuel and energy consumption, energy efficiency or battery durability, prohibit the registration, sale or entry into service of such vehicles.",2022/0365(COD)
A9-0298/2023-180,NULL,"(e a) setting out requirements and rules, in cooperation with manufactures and suppliers, for technical devices in vehicles that recognise the exclusive use of CO2 neutral fuels in vehicles.",2022/0365(COD)
A9-0233/2023-285,NULL,"ANNEX VIIIa EMERGENCY MEASURES TO BE CONSIDERED FOR INCLUSION IN THE SHORT-TERM ACTION PLANS REQUIRED UNDER ARTICLE 20 1. Measures to be taken in the short term aimed at addressing the sources which contribute to the risk of the relevant limit values, target values or alert threshold being exceeded: (a) restricting the circulation of vehicles; (b) low-fare or fare-free public transportation; (c) implementing stricter emission limits; (d) suspending operations at construction works; (e) street cleaning; (f) flexible work arrangements; (g) introducing driving restrictions around locations frequented by sensitive population and vulnerable groups. 3. Proactive steps to be taken in order to provide specific air pollution, health and health protection information, both to the general public and to sensitive population and vulnerable groups, by means of easily accessible, online or offline communication channels, as soon as exceedances of information and alert thresholds and of limit values and target values are projected.",2022/0347(COD)
A9-0298/2023-182,Regulation (EC) 715/2007 is repealed with effect from 1 July 2025.,Regulation (EC) 715/2007 is repealed with effect from 1 July 2035.,2022/0365(COD)
A9-0298/2023-183,Regulation (EC) 595/2009 is repealed with effect from 1 July 2027.,Regulation (EC) 595/2009 is repealed with effect from 1 July 2035.,2022/0365(COD)
A9-0298/2023-184,"It shall apply from 1 July 2030 for M1, N1 vehicles constructed by small volume manufacturers.","It shall apply as from 1 July 2035 for M1, N1 vehicles, constructed by small volume manufacturers and from 1 July 2035 for M2, M3, N2, N3 vehicles constructed by small volume manufacturers.",2022/0365(COD)
A9-0298/2023-186,NULL,"(18 a) Scientific and technological findings prove the sustainability of climate-friendly, CO2-neutral fuels. In order to ensure that no fossil fuels are used in vehicles powered by these fuels, the Commission should formulate requirements and rules, in cooperation with manufacturers and suppliers, to find technical solutions (e.g. sensors in fuel tank) that are practical, affordable and suitable for the masses.",2022/0365(COD)
A9-0298/2023-187,NULL,"(57 a) ‘CO2 neutral fuel’ means all fuels defined by Directive (EU) 2018/2001 where the emissions of the fuel in use (eu) can be taken to be net zero, meaning for instance that the CO2 equivalent of the carbon incorporated in the chemical composition of the fuel in use (eu) is of biogenic origin and/or has been avoided being emitted as CO2 into the atmosphere or has been captured from ambient air or has avoided its existing fate. Those fuels include renewable or synthetic fuels such as biofuel, biogas, biomass fuel, renewable liquid and gaseous transport fuel of non biological origin (RFNBO) or a recycled carbon fuel (RCF); other fuels not listed in Directive (EU) 2018/2001 can fulfil this definition provided that they meet those criteria and the sustainability criteria of that Directive and associated delegated acts; a mixture of two or more CO2 neutral fuels is considered a CO2 neutral fuel;",2022/0365(COD)
A9-0298/2023-188,NULL,"(57 b) ‘Carbon Correction Factor (CCF)’ means a factor, which applies a correction to the CO2 tailpipe emissions of vehicles for compliance assessment, to reflect the GHG emission intensity and the share of CO2 neutral fuels as defined in point (57a);",2022/0365(COD)
A9-0298/2023-189,"(67) ‘zero-emission range’ means the maximum distance a zero-emission vehicle can travel until the traction battery or fuel tank is depleted, which for PEVs corresponds to the electric range;","(67) ‘zero-emission range’ means the maximum distance a zero-emission vehicle and Euro 7 CNF vehicle can travel until the traction battery or fuel tank is depleted, which for PEVs corresponds to the electric range;",2022/0365(COD)
A9-0233/2023-293,"(4) The Zero Pollution Action Plan also sets out a vision for the year 2050, where air pollution is reduced to levels no longer considered harmful to health and natural ecosystems. To this end, a staged approach towards setting current and future EU air quality standards should be pursued, establishing intermediate air quality standards for the year 2030 and beyond, and developing a perspective for alignment with the WHO Air Quality Guidelines by the year 2050 at the latest based on a regular review mechanism to take into account the latest scientific understanding. Given the links between pollution reduction and decarbonisation, the long- term objective to achieve the zero pollution ambition should be pursued hand in hand with reduction of greenhouse gas emissions as set by Regulation (EU) 2021/1119 of the European Parliament and of the Council42 .     __________________  42 Regulation (EU) 2021/1119 of the European Parliament and of the Council of 30 June 2021 establishing the framework for achieving climate neutrality and amending Regulations (EC) No 401/2009 and (EU) 2018/1999 (‘European Climate Law’) (OJ L 243, 9.7.2021, p. 1–17).","(4) The Zero Pollution Action Plan also sets out a vision for the year 2050, where air pollution is reduced to levels no longer considered harmful to health and natural ecosystems. To this end, an ambitious approach towards setting current and future EU air quality standards should be pursued, establishing air quality standards for the year 2035, including intermediate air quality standards for 2030, and at regular intervals beyond, and developing a perspective for continuous full alignment with the most up-to-date WHO Air Quality Guidelines in order to achieve the zero pollution objective by the year 2050 at the latest based on a regular review mechanism to take into account the latest scientific evidence. Given the links between pollution reduction and decarbonisation, the long-term objective to achieve the zero pollution ambition should be pursued hand in hand with reduction of greenhouse gas emissions as set by Regulation (EU) 2021/1119 of the European Parliament and of the Council42 . __________________  42 Regulation (EU) 2021/1119 of the European Parliament and of the Council of 30 June 2021 establishing the framework for achieving climate neutrality and amending Regulations (EC) No 401/2009 and (EU) 2018/1999 (‘European Climate Law’) (OJ L 243, 9.7.2021, p. 1–17).",2022/0347(COD)
A9-0298/2023-190,NULL,"Article5a Options of the manufacturers concerning the designation of vehicles fuelled by CO2 neutral fuels Manufacturers may designate vehicles as 'Euro 7 CNF vehicle' where those vehicles are fuelled by CO2 neutral fuels (CNF), as defined in Article 3 of this Regulation, either exclusively or with the Carbon Correction Factor, over the vehicle lifetime. In the case of exclusive use of CNF by technical adjustments at the vehicle or filling station or by a fuel certification scheme, the CO2 emissions are considered zero for the purposes of Regulations (EU) 2019/631 and (EU) 2019/1242. The verification of the requirement of exclusive use of CNF by technical adjustments is the responsibility of the type-approval authority. In the second case, the CO2 emissions for the purposes of Regulation (EU) 2019/631 and (EU) 2019/1242 are calculated through the Carbon Correction Factor (CCF), as defined in Article 3, point (57b), of this Regulation. The Commission shall, no later than one year after the entry into force of this Regulation and in consultation with the relevant stakeholders, define the methodologies to calculate and apply the CCF.",2022/0365(COD)
A9-0298/2023-191,NULL,"(e a) setting out requirements and rules, in cooperation with manufactures and suppliers, for technical devices in vehicles that recognise the exclusive use of CO2 neutral fuels in vehicles.",2022/0365(COD)
A9-0298/2023-194,NULL,"3 a. With effect from 18 months after the entry into force of all relevant secondary legislation, and according to the specific provisions for systems, components, and separate technical units, national approval authorities shall, on grounds relating to CO2 and pollutant emissions, fuel and energy consumption or battery durability, in the case of new types of M1, N1 vehicles, refuse to grant EU emission type-approval or national emission type-approval which do not comply with this Regulation.",2022/0365(COD)
A9-0298/2023-195,"4. With effect from 1 July 2025, national authorities shall, in the case of new M1, N1 vehicles which do not comply with this Regulation consider certificates of conformity to be no longer valid for the purposes of registration and shall, on grounds relating to CO2 and pollutant emissions, fuel and energy consumption or battery durability, prohibit the registration, sale or entry into service of such vehicles.","4. With effect from 30 months after the entry into force of all relevant secondary legislation, and according to the specific provisions for systems, components, and separate technical units, national authorities shall, in the case of new M1, N1 vehicles which do not comply with this Regulation consider certificates of conformity to be no longer valid for the purposes of registration and shall, on grounds relating to CO2 and pollutant emissions, fuel and energy consumption or battery durability, prohibit the registration, sale or entry into service of such vehicles.",2022/0365(COD)
A9-0298/2023-196,NULL,"4 a. With effect from 36 months after the entry into force of all relevant secondary legislation, and according to the specific provisions for systems, components, and separate technical units, national approval authorities shall, on grounds relating to CO2 and pollutant emissions, fuel and energy consumption, energy efficiency or battery durability, in the case of new types of M2, M3, N2, N3 vehicles and new O3, O4 trailers, refuse to grant EU emission type-approval or national emission type-approval which do not comply with this Regulation.",2022/0365(COD)
A9-0233/2023-300,Table 1 – Limit values for the protection of human health to be attained by 1 January 2030,Table 1 – Limit values for the protection of human health to be attained by 1 January 2035,2022/0347(COD)
A9-0298/2023-197,"5. With effect from 1 July 2027, national authorities shall, in the case of new M2, M3, N2, N3 vehicles and new O3, O4 trailers, which do not comply with this Regulation consider certificates of conformity to be no longer valid for the purposes of registration and shall, on grounds relating to CO2 and pollutant emissions, fuel and energy consumption, energy efficiency or battery durability, prohibit the registration, sale or entry into service of such vehicles.","5. With effect from 48 months after the entry into force of all relevant secondary legislation, and according to the specific provisions for systems, components, and separate technical units, national authorities shall, in the case of new M2, M3, N2, N3 vehicles and new O3, O4 trailers, which do not comply with this Regulation consider certificates of conformity to be no longer valid for the purposes of registration and shall, on grounds relating to CO2 and pollutant emissions, fuel and energy consumption, energy efficiency or battery durability, prohibit the registration, sale or entry into service of such vehicles or trailers.",2022/0365(COD)
A9-0298/2023-198,"1. With effect from 1 July 2025, the sale or installation of a system, component or separate technical unit intended to be fitted on an M1, N1 vehicle approved under this Regulation, shall be prohibited if the system, component and separate technical unit is not of type approved in compliance with this Regulation.","1. With effect from 18 months after the entry into force of all relevant secondary legislation, the sale or installation of a system, component or separate technical unit intended to be fitted on an M1, N1 vehicle approved under this Regulation, shall be prohibited if the system, component and separate technical unit is not of type approved in compliance with this Regulation.",2022/0365(COD)
A9-0298/2023-199,"2. With effect from 1 July 2027, the sale or installation of a system, component or separate technical unit intended to be fitted on an M2, M3, N2, N3 vehicle approved under this Regulation, shall be prohibited if the system, component and separate technical unit is not type approved in compliance with this Regulation.","2. With effect from 36 months after the entry into force of all relevant secondary legislation, the sale or installation of a system, component or separate technical unit intended to be fitted on an M2, M3, N2, N3 vehicle and O3, O4 trailers approved under this Regulation, shall be prohibited if the system, component and separate technical unit is not type approved in compliance with this Regulation.",2022/0365(COD)
A9-0298/2023-202,Regulation (EC) 715/2007 is repealed with effect from 1 July 2025.,Regulation (EC) 715/2007 is repealed with effect from 18 months after the entry into force of all relevant secondary legislation .,2022/0365(COD)
A9-0298/2023-203,Regulation (EC) 595/2009 is repealed with effect from 1 July 2027.,Regulation (EC) 595/2009 is repealed with effect from 36 months after the entry into force of all relevant secondary legislation .,2022/0365(COD)
A9-0298/2023-204,"It shall apply from 1 July 2025 for M1, N1 vehicles and components and separate technical units for those vehicles and from 1 July 2027 for M2, M3, N2, N3 vehicles and components and separate technical units for those vehicles and O3, O4 trailers.","It shall apply from 18 months after the entry into force of all relevant secondary legislation for new type for M1, N1 vehicles and components and separate technical units for those vehicles and 30 months after the entry into force of all relevant secondary legislation for new M1, N1 vehicles and components and separate technical units for those vehicles. It shall apply 36 months after the entry into force of all relevant secondary legislation for new type M2, M3, N2, N3 vehicles and components and separate technical units for those vehicles and O3, O4 trailers and 48 months after the entry into force of all relevant secondary legislation for new M2, M3, N2, N3 vehicles and components and separate technical units for those vehicles and O3, O4 trailers.",2022/0365(COD)
A9-0298/2023-205,"  Table 2: Euro 7 exhaust emission limits for M2, M3, N2 and N3 vehicles with internal   combustion engine and internal combustion engines used in those vehicles                                                          Hot emissions3                 Emission budget                     Optional idle                                    Cold                                                   for all trips less              emission limits4   Pollutant                   emissions2                                                 than 3*WHTC   emissions                                                                                       long                                 per kWh                       per kWh                          per kWh                         per hour   NOx in mg                        350                             90                              150                            5000    PM in mg                          12                              8                               10   PN10 in #                      5x1011                         2x1011                          3x1011    CO in mg                        3500                            200                             2700   NMOG in                          200                             50                               75   mg    NH3 in mg                         65                             65                               70   CH4 in mg                        500                            350                              500    N2O in mg                        160                            100                              140   HCHO in                           30                             30   mg    2 Cold emissions refers to the 100th percentile of moving windows (MW) of 1 WHTC for   vehicles, or WHTCcold for engines   3 Hot emission refers to the 90th percentile of moving windows (MW) of 1 WHTC for   vehicles or WHTChot for engines    4 Applicable only if a system is not present that automatically shuts down the engine after   300 seconds","  Table 2: Euro 7 exhaust emission limits for M2, M3, N2 and N3 vehicles with internal   combustion engine and internal combustion engines used in those vehicles                                  WHSC (CI) and WHTC (CI and                                  REAL Driving Emissions (RDE)   Pollutant                                            PI)   emissions                                                    per kWh                                                      per kWh   NOx in mg                                            160                                                          200   PM in mg                                               8                                                           10    PN10 in #                                          5x1011                                                      7x1011   CO in mg                                             900                                                         1125    NMOG in mg                                            70                                                           90   NH3 in mg                                             60                                                           78    CH4 in mg                                            400                                                          525   N2O in mg                                            115                                                          160    HCHO in mg                                            25                                                           35",2022/0365(COD)
A9-0298/2023-206,"  Table 2: Conditions for testing compliance of M2, M3, N2 and N3 vehicles with exhaust   emission limits with any market fuel and lubricant within the specifications issued by the   manufacturer of the vehicle            Parameter                         Normal driving conditions                             Extended driving conditions*                                                                  -                                      2 (applies to measured     Extended Driving                                                                             emissions only during the time              Divider                                                                             when one of the conditions set                                                                                                     out in this column applies)    Ambient temperature                                   -7°C to 35°C                              -10°C to -7°C or 35°C to 45°C     Maximum altitude                                        1 600 m                                     From 1 600 to 1 800 m    Tow   min og d/ ia fe icr ao td ioyn na smic          Not allowed                               am na dn  A uul pl f  o a tow c  te tu hd r e  ea  r rc   ec s gpo uerd c laii fn ti eg c da   t sto i po  en es d         Vehicle Payload                       Higher or equal than 10%                                          Less than 10%           Auxiliaries                       Possible as per normal use                                                    -    Internal Combustion                                          Any                                                        -     Engine Loading at            cold start      Trip composition                                As per usual use                                                     -                                              5 000 km for <16t TPMLM                                Between 3 000 km and 5 000     Minimum mileage                       10 000 km for > 16t TPMLM                               Betwk   em en f  o 3r  0 < 01 06  kt  mTP  aM ndL  1M 0 000                                                                                                          km for > 16t TPMLM   *The same emission strategy shall be used when a vehicle is run outside those conditions, unless   there is a technical reason approved by the type approval authority.","  Table 2: Conditions for testing compliance of M2, M3, N2 and N3 vehicles with exhaust   emission limits with any market fuel and lubricant within the specifications issued by the   manufacturer of the vehicle              Laboratory exhaust emission                                    Real Driving Emission (RDE) measurement                          measurement   For all exhaust emission tests conducted                                The provisions of UN Regulation No 49,   using the WHTC/WHSC engine bench                                        Annex 8, shall apply with the following   test cycles, the provisions of UN                                       exceptions:   Regulation No 491, Annex 4 shall apply.                                 • The power threshold in Table 1 of Annex 3                                                                            is 0%. For windows where power is below                                                                           6%, 6% shall be used for calculations;                                                                           • The conformity factor (CF) in Table 2 of                                                                           point 6.3 where the value = 1.0 shall be used                                                                           for all pollutants. The applicable limits are                                                                           the Real RDE limits in Annex 1, Table 2.                                                                           • The trip shall consist of urban, rural and                                                                           motorway driving in random order and                                                                           according to normal use                                                                            • The emission data evaluation shall begin as                                                                           of “test-start” or when the vehicle speed                                                                           exceeds 1 km/h                                                                           • Any vehicle payload is permitted    1 UN Regulation No 49 – Uniform provisions concerning the measures to be taken against the   emission of gaseous and particulate pollutants from compression-ignition engines and positive   ignition engines for use in vehicles - 07 series of amendments (OJ L 14, 16.1.2023, p. 1).",2022/0365(COD)
A9-0233/2023-310,NULL,The European Parliament rejects the Commission proposal.,2022/0347(COD)
A9-0233/2023-311,NULL,"(8 a) The ‘one-size-fits-all’ approach would not take into due account the unique morphological and climatic conditions of many EU territories. Therefore, the implementation of this Directive could have serious economic and social implications on Member States that are already struggling to achieve the existing challenging targets imposed by the Directives repealed by this Directive.",2022/0347(COD)
A9-0298/2023-208,NULL,"(18 a) Scientific and technological findings prove the sustainability of climate-friendly, CO2-neutral fuels. In order to ensure that no fossil fuels are used in vehicles powered by these fuels, the Commission should formulate requirements and rules, in cooperation with manufacturers and suppliers, to find technical solutions (e.g. sensors in fuel tank) that are practical, affordable and suitable for the masses.",2022/0365(COD)
A9-0233/2023-312,"2. This Directive sets intermediate limit values, target values, average exposure reduction obligations, average exposure concentration objectives, critical levels, information thresholds, alert thresholds and long-term objectives (‘air quality standards’) to be met by the year 2030, and regularly reviewed thereafter in accordance with Article 3.","2. This Directive sets intermediate limit values, target values, average exposure reduction obligations, average exposure concentration objectives, critical levels, information thresholds, alert thresholds and long-term objectives (‘air quality standards’) to be met by the year 2040, and regularly reviewed thereafter in accordance with Article 3. (This amendment applies throughout the text. Adopting it will necessitate corresponding changes throughout.)",2022/0347(COD)
A9-0298/2023-209,NULL,"(57 a) ‘CO2 neutral fuel’ means all fuels defined by Directive (EU) 2018/2001 where the emissions of the fuel in use (eu) can be taken to be net zero, meaning for instance that the CO2 equivalent of the carbon incorporated in the chemical composition of the fuel in use (eu) is of biogenic origin and/or has been avoided being emitted as CO2 into the atmosphere or has been captured from ambient air or has avoided its existing fate. Those fuels include renewable or synthetic fuels such as biofuel, biogas, biomass fuel, renewable liquid and gaseous transport fuel of non biological origin (RFNBO) or a recycled carbon fuel (RCF). Other fuels not listed in Directive (EU) 2018/2001 can fulfil this definition provided that they meet those criteria and the sustainability criteria of that Directive and associated delegated acts. A mixture of two or more CO2 neutral fuels is considered a CO2 neutral fuel.",2022/0365(COD)
A9-0233/2023-313,"1. By 31 December 2028, and every 5 years thereafter, and more often if substantial new scientific findings point to the need for it, the Commission shall review the scientific evidence related to air pollutants and their effects on human health and the environment relevant to achieving the objective set in Article 1 and present a report with the main findings to the European Parliament and to the Council.","1. By 31 December 2033, and every 10 years thereafter, and more often if substantial new scientific findings point to the need for it, the Commission shall review the scientific evidence related to air pollutants and their effects on human health and the environment relevant to achieving the objective set in Article 1 and present a report with the main findings to the European Parliament and to the Council. (This amendment applies throughout the text. Adopting it will necessitate corresponding changes throughout.)",2022/0347(COD)
A9-0298/2023-210,NULL,"(57 b) ‘Carbon Correction Factor (CCF)’ means a factor, which applies a correction to the CO2 tailpipe emissions of vehicles for compliance assessment, to reflect the GHG emission intensity and the share of CO2 neutral fuels as defined in point (57a);",2022/0365(COD)
A9-0233/2023-314,"1. Where, in a given zone , conformity with the limit values for particulate matter (PM10 and PM2.5) or nitrogen dioxide cannot be achieved by the deadline specified in Table 1 of Section 1 of Annex I, because of site-specific dispersion characteristics, orographic boundary conditions, adverse climatic conditions or transboundary contributions, a Member State may postpone - that deadline once by a maximum of 5 years for that particular zone , if the following conditions are met:","1. Where, in a given zone , conformity with the limit values for particulate matter (PM10 and PM2.5) or nitrogen dioxide cannot be achieved by the deadline specified in Table 1 of Section 1 of Annex I, because of site-specific dispersion characteristics, orographic boundary conditions, adverse climatic conditions or transboundary contributions, a Member State may postpone - that deadline for that particular zone , if the following conditions are met:",2022/0347(COD)
A9-0298/2023-211,"(67) ‘zero-emission range’ means the maximum distance a zero-emission vehicle can travel until the traction battery or fuel tank is depleted, which for PEVs corresponds to the electric range;","(67) ‘zero-emission range’ means the maximum distance a zero-emission vehicle and Euro 7 CNF vehicle can travel until the traction battery or fuel tank is depleted, which for PEVs corresponds to the electric range;",2022/0365(COD)
A9-0298/2023-212,NULL,"Article5a Options of the manufacturers concerning the designation of vehicles fuelled by CO2 neutral fuels Manufacturers may designate vehicles as 'Euro 7 CNF vehicle' where those vehicles are fuelled by CO2 neutral fuels (CNF), as defined in Article 3 of this Regulation, either exclusively or with the Carbon Correction Factor, over the vehicle lifetime. In the case of exclusive use of CNF by technical adjustments at the vehicle or filling station or by a fuel certification scheme, the CO2 emissions are considered zero for the purposes of Regulation (EU) 2019/631 and (EU) 2019/1242. The verification of the requirement of exclusive use of CNF by technical adjustments is the responsibility of the type-approval authority. In the second case, the CO2 emissions for the purposes of Regulation (EU) 2019/631 and (EU) 2019/1242 are calculated through the Carbon Correction Factor (CCF), as defined in Article 3, point (57b), of this Regulation. The Commission shall, no later than one year after the entry into force of this regulation and in consultation with the relevant stakeholders, define the methodologies to calculate and apply the CCF.",2022/0365(COD)
A9-0298/2023-213,NULL,"(e a) setting out requirements and rules, in cooperation with manufactures and suppliers, for technical devices in vehicles that recognise the exclusive use of CO2 neutral fuels in vehicles.",2022/0365(COD)
A9-0298/2023-214,"6. With effect from 1 July 2030, national authorities shall, in the case of new M1, N1 vehicles constructed by small volume manufacturers which do not comply with this Regulation consider certificates of conformity to be no longer valid for the purposes of registration and shall, on grounds relating to CO2 and pollutant emissions, fuel and energy consumption, energy efficiency or battery durability, prohibit the registration, sale or entry into service of such vehicles.","6. With effect from 1 July 2035, national authorities shall, in the case of new M1, N1 vehicles constructed by small volume manufacturers which do not comply with this Regulation consider certificates of conformity to be no longer valid for the purposes of registration and shall, on grounds relating to CO2 and pollutant emissions, fuel and energy consumption, energy efficiency or battery durability, prohibit the registration, sale or entry into service of such vehicles.",2022/0365(COD)
A9-0298/2023-215,"7. With effect from 1 July 2031, national authorities shall, in the case of new M2, M3, N2, N3 vehicles constructed by small volume manufacturers, which do not comply with this Regulation consider certificates of conformity to be no longer valid for the purposes of registration and shall, on grounds relating to CO2 and pollutant emissions, fuel and energy consumption, energy efficiency or battery durability, prohibit the registration, sale or entry into service of such vehicles.","7. With effect from 1 July 2035, national authorities shall, in the case of new M2, M3, N2, N3 vehicles constructed by small volume manufacturers, which do not comply with this Regulation consider certificates of conformity to be no longer valid for the purposes of registration and shall, on grounds relating to CO2 and pollutant emissions, fuel and energy consumption, energy efficiency or battery durability, prohibit the registration, sale or entry into service of such vehicles.",2022/0365(COD)
A9-0298/2023-216,Regulation (EC) 715/2007 is repealed with effect from 1 July 2025.,Regulation (EC) 715/2007 is repealed with effect from 1 July 2035.,2022/0365(COD)
